anime_id,title,genres,media,episodes,rating,members,start_date,year,season,source
1,Cowboy Bebop,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",tv,26,8.77,1324054,03/04/1998,1998,spring,original
5,Cowboy Bebop: Tengoku no Tobira,"Action,Drama,Mystery,Sci-Fi,Space",movie,1,8.39,284827,01/09/2001,2001,summer,original
6,Trigun,"Action,Sci-Fi,Adventure,Comedy,Drama,Shounen",tv,26,8.23,578887,01/04/1998,1998,spring,manga
7,Witch Hunter Robin,"Action,Mystery,Police,Supernatural,Drama,Magic",tv,26,7.27,96487,02/07/2002,2002,summer,original
8,Bouken Ou Beet,"Adventure,Fantasy,Shounen,Supernatural",tv,52,6.97,13450,30/09/2004,2004,fall,manga
15,Eyeshield 21,"Action,Sports,Comedy,Shounen",tv,145,7.94,152647,06/04/2005,2005,spring,manga
16,Hachimitsu to Clover,"Comedy,Drama,Josei,Romance,Slice of Life",tv,24,8.05,220209,15/04/2005,2005,spring,manga
17,Hungry Heart: Wild Striker,"Slice of Life,Comedy,Sports,Shounen",tv,52,7.58,20934,11/09/2002,2002,fall,manga
18,Initial D Fourth Stage,"Action,Cars,Sports,Drama,Seinen",tv,24,8.14,124265,17/04/2004,2004,spring,manga
19,Monster,"Drama,Horror,Mystery,Police,Psychological,Seinen,Thriller",tv,74,8.77,662260,07/04/2004,2004,spring,manga
20,Naruto,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",tv,220,7.92,1986735,03/10/2002,2002,fall,manga
21,One Piece,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",tv,0,8.54,1445125,20/10/1999,1999,fall,manga
22,Tennis no Ouji-sama,"Action,Comedy,Sports,School,Shounen",tv,178,7.89,146618,10/10/2001,2001,fall,manga
23,Ring ni Kakero 1,"Action,Shounen,Sports",tv,12,6.37,3734,06/10/2004,2004,fall,manga
24,School Rumble,"Comedy,Romance,School,Shounen",tv,26,7.93,281986,05/10/2004,2004,fall,manga
25,Sunabouzu,"Action,Adventure,Comedy,Ecchi,Sci-Fi,Shounen",tv,24,7.42,114130,06/10/2004,2004,fall,manga
26,Texhnolyze,"Action,Sci-Fi,Psychological,Drama",tv,22,7.76,188544,17/04/2003,2003,spring,original
27,Trinity Blood,"Action,Supernatural,Vampire",tv,24,7.32,160989,29/04/2005,2005,spring,light_novel
28,Yakitate!! Japan,"Comedy,Shounen",tv,69,7.94,81760,12/10/2004,2004,fall,manga
29,Zipang,"Action,Military,Sci-Fi,Historical,Drama,Seinen",tv,26,7.51,17019,08/10/2004,2004,fall,manga
30,Neon Genesis Evangelion,"Action,Sci-Fi,Dementia,Psychological,Drama,Mecha",tv,26,8.32,1235506,04/10/1995,1995,fall,original
31,Neon Genesis Evangelion: Death & Rebirth,"Drama,Mecha,Psychological,Sci-Fi",movie,1,7.45,189325,15/03/1997,1997,winter,original
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi,Dementia,Psychological,Drama,Mecha",movie,1,8.52,612008,19/07/1997,1997,summer,original
